slate_date,population,game_pk,batter_mlb_id,player_name,game,run_tag,probability,over_price,under_price,no_vig_probability,edge_pp,actual_total_bases,y,coverage_status
2026-07-26,BROAD_EVER_POSITIVE,823433,607208,Trea Turner,NYY @ PHI,local_daily_20260726T200002Z,0.4397915486,115,-149,0.4373408273,0.2450721258,4,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_EVER_POSITIVE,823840,665487,Fernando Tatis Jr.,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.4589161184,107,-139,0.4537429043,0.51732141,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_EVER_POSITIVE,823840,665052,Griffin Conine,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.3440022121,174,-233,0.3427971423,0.12050698,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_EVER_POSITIVE,823840,701538,Jackson Merrill,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.4338313607,130,-169,0.4090010643,2.48302964,5,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_EVER_POSITIVE,823840,669065,Kyle Stowers,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.4223211862,132,-172,0.4053409633,1.69802229,6,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_EVER_POSITIVE,823840,669364,Xavier Edwards,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.3691529719,158,-208,0.3646523963,0.45005756,1,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_EVER_POSITIVE,822870,592626,Joc Pederson,SEA @ TEX,local_daily_20260726T180003Z,0.3969127845,158,-208,0.3646523963,3.2260388208,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_EVER_POSITIVE,824730,807799,Masataka Yoshida,TOR @ BOS,manual_ubo5_tb15_20260726T144941065545Z,0.425655525,126,-164,0.4159838649,0.96716601,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,822706,665953,Andrés Chaparro,ARI @ WSH,manual_ubo5_tb15_20260726T144941065545Z,0.385727242,158,-208,0.3646523963,2.10748457,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824810,686948,Drake Baldwin,ATL @ BAL,manual_ubo5_tb15_20260726T144941065545Z,0.4661314956,109,-141,0.4498870615,1.62444341,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824810,687637,Dylan Beavers,ATL @ BAL,manual_ubo5_tb15_20260726T144941065545Z,0.3781839247,171,-227,0.347071123,3.11128017,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824810,683002,Gunnar Henderson,ATL @ BAL,manual_ubo5_tb15_20260726T144941065545Z,0.417919587,130,-169,0.4090010643,0.89185227,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824810,643289,Mauricio Dubón,ATL @ BAL,manual_ubo5_tb15_20260726T144941065545Z,0.3744945103,171,-227,0.347071123,2.74233873,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824810,645277,Ozzie Albies,ATL @ BAL,manual_ubo5_tb15_20260726T144941065545Z,0.4325109086,126,-164,0.4159838649,1.65270437,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824810,621493,Taylor Ward,ATL @ BAL,manual_ubo5_tb15_20260726T144941065545Z,0.3535230268,167,-222,0.3520125937,0.15104331,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823028,676475,Alec Burleson,CIN @ STL,manual_ubo5_tb15_20260726T144941065545Z,0.4110902812,130,-169,0.4090010643,0.20892169,4,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823028,802139,JJ Wetherholt,CIN @ STL,manual_ubo5_tb15_20260726T144941065545Z,0.4284045841,132,-172,0.4053409633,2.30636208,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,822950,802415,Chandler Simpson,CLE @ TB,manual_ubo5_tb15_20260726T144941065545Z,0.3551545152,174,-233,0.3427971423,1.23573729,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,822950,800050,Chase DeLauter,CLE @ TB,manual_ubo5_tb15_20260726T144941065545Z,0.4283510159,149,-196,0.3775317586,5.08192573,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,822950,608070,José Ramírez,CLE @ TB,manual_ubo5_tb15_20260726T144941065545Z,0.4455029791,136,-179,0.3977531934,4.77497857,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,822950,691406,Junior Caminero,CLE @ TB,manual_ubo5_tb15_20260726T144941065545Z,0.4462847167,126,-164,0.4159838649,3.03008518,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,822950,680757,Steven Kwan,CLE @ TB,manual_ubo5_tb15_20260726T144941065545Z,0.3638919578,161,-213,0.3602131357,0.36788221,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,822950,650490,Yandy Díaz,CLE @ TB,manual_ubo5_tb15_20260726T144941065545Z,0.4379748159,115,-149,0.4373408273,0.06339886,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824246,650402,Gleyber Torres,KC @ DET,manual_ubo5_tb15_20260726T144941065545Z,0.3759833322,158,-208,0.3646523963,1.13309359,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824246,695506,Jac Caglianone,KC @ DET,manual_ubo5_tb15_20260726T144941065545Z,0.4283607291,141,-185,0.3899568995,3.84038296,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824246,679845,Nick Loftin,KC @ DET,manual_ubo5_tb15_20260726T144941065545Z,0.3796766078,149,-196,0.3775317586,0.21448492,1,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824246,516782,Starling Marte,KC @ DET,manual_ubo5_tb15_20260726T144941065545Z,0.3496901547,174,-233,0.3427971423,0.68930124,1,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823194,805811,Bryce Eldridge,LAA @ SF,local_daily_20260726T180003Z,0.3833120941,158,-208,0.3646523963,1.865969779,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823194,671218,Heliot Ramos,LAA @ SF,local_daily_20260726T180003Z,0.4195637883,146,-192,0.3820389366,3.7524851694,1,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823194,646240,Rafael Devers,LAA @ SF,local_daily_20260726T180003Z,0.410020836,149,-196,0.3775317586,3.2489077446,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823599,805999,A.J. Ewing,LAD @ NYM,manual_ubo5_tb15_20260726T144941065545Z,0.4077083079,146,-192,0.3820389366,2.56693713,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823599,666182,Bo Bichette,LAD @ NYM,manual_ubo5_tb15_20260726T144941065545Z,0.4340202603,122,-159,0.423216445,1.08038153,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823599,701807,Carson Benge,LAD @ NYM,manual_ubo5_tb15_20260726T144941065545Z,0.3864928384,164,-217,0.356227806,3.02650324,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823599,596019,Francisco Lindor,LAD @ NYM,manual_ubo5_tb15_20260726T144941065545Z,0.4427452065,136,-179,0.3977531934,4.49920131,1,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823599,593871,Jorge Polanco,LAD @ NYM,manual_ubo5_tb15_20260726T144941065545Z,0.3494610917,171,-227,0.347071123,0.23899687,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823599,663656,Kyle Tucker,LAD @ NYM,manual_ubo5_tb15_20260726T144941065545Z,0.3573282586,178,-238,0.3381217238,1.92065348,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823599,605141,Mookie Betts,LAD @ NYM,manual_ubo5_tb15_20260726T144941065545Z,0.398133517,136,-179,0.3977531934,0.03803236,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823599,660271,Shohei Ohtani,LAD @ NYM,manual_ubo5_tb15_20260726T144941065545Z,0.5186439529,-109,-119,0.4897419064,2.89020465,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823433,664761,Alec Bohm,NYY @ PHI,local_daily_20260726T200002Z,0.3864289282,149,-196,0.3775317586,0.8897169579,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823433,607208,Trea Turner,NYY @ PHI,local_daily_20260726T200002Z,0.4397915486,115,-149,0.4373408273,0.2450721258,4,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823840,665487,Fernando Tatis Jr.,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.4589161184,107,-139,0.4537429043,0.51732141,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823840,665052,Griffin Conine,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.3440022121,174,-233,0.3427971423,0.12050698,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823840,701538,Jackson Merrill,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.4338313607,130,-169,0.4090010643,2.48302964,5,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823840,669065,Kyle Stowers,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.4223211862,132,-172,0.4053409633,1.69802229,6,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,823840,669364,Xavier Edwards,SD @ MIA,manual_ubo5_tb15_20260726T144941065545Z,0.3691529719,158,-208,0.3646523963,0.45005756,1,0.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,822870,592626,Joc Pederson,SEA @ TEX,local_daily_20260726T180003Z,0.3969127845,158,-208,0.3646523963,3.2260388208,2,1.0,PARTIAL_CERTIFIED_RUN_SPINE
2026-07-26,BROAD_FINAL_PREGAME_POSITIVE,824730,807799,Masataka Yoshida,TOR @ BOS,manual_ubo5_tb15_20260726T144941065545Z,0.425655525,126,-164,0.4159838649,0.96716601,0,0.0,PARTIAL_CERTIFIED_RUN_SPINE
