identity,date,game_id,player_id,prediction_timestamp,scheduled_game_start,strict_pregame,model_semantic_name,model_artifact_sha256,p_over,target,actual_hits,outcome_attachment_contract,baseline_a_population,hitter_prior_resolved_games,hitter_prior_hits,baseline_b_hitter_shrunk
825054:650859:hits:0.5,2026-08-04,825054,650859,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5519185398982259,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,30,17.0,0.5685712766381729
825054:663457:hits:0.5,2026-08-04,825054,663457,2026-08-04T23:30:24.751574+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5719859673825193,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,42,26.0,0.6121141702450114
825054:664034:hits:0.5,2026-08-04,825054,664034,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6481686416976457,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,51,31.0,0.6034865849533995
825054:665487:hits:0.5,2026-08-04,825054,665487,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6011256743916968,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,41,29.0,0.6858307859642973
825054:666023:hits:0.5,2026-08-04,825054,666023,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5519185398982259,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,32,13.0,0.4401427128062642
825054:669134:hits:0.5,2026-08-04,825054,669134,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6011256743916968,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,20,12.0,0.5930610182946632
825054:672695:hits:0.5,2026-08-04,825054,672695,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6806877975535622,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,62,36.0,0.5800815501750081
825054:682998:hits:0.5,2026-08-04,825054,682998,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.626189824219531,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,61,40.0,0.6464595436558053
825054:687749:hits:0.5,2026-08-04,825054,687749,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4590477921707535,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,17,5.0,0.38422834049002275
825054:694374:hits:0.5,2026-08-04,825054,694374,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4480814601017741,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,24,13.0,0.5501783910078303
825054:701538:hits:0.5,2026-08-04,825054,701538,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6357429322821878,1.0,3.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,56,32.0,0.5719641955039151
825054:814439:hits:0.5,2026-08-04,825054,814439,2026-08-04T10:31:33.873293+00:00,2026-08-04T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6806877975535622,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,34,24.0,0.6810882979107278
822866:553869:hits:0.5,2026-08-05,822866,553869,2026-08-05T12:33:09.559074+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4775255349759326,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,29,14.0,0.502856986817583
822866:607043:hits:0.5,2026-08-05,822866,607043,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5719859673825193,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,63,36.0,0.5719113874964868
822866:608369:hits:0.5,2026-08-05,822866,608369,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5719859673825193,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,16,7.0,0.48357118801044036
822866:642715:hits:0.5,2026-08-05,822866,642715,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4910451095172474,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,55,34.0,0.6127890240039773
822866:642851:hits:0.5,2026-08-05,822866,642851,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5089548904827527,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,7,2.0,0.44038056748337123
822866:646240:hits:0.5,2026-08-05,822866,646240,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5783260540559665,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,59,33.0,0.5612792315261278
822866:669394:hits:0.5,2026-08-05,822866,669394,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5719859673825193,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,65,38.0,0.5836398426335694
822866:670032:hits:0.5,2026-08-05,822866,670032,2026-08-05T12:33:09.559074+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4480814601017741,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,46,28.0,0.603809416893529
822866:671083:hits:0.5,2026-08-05,822866,671083,2026-08-05T16:32:02.246451+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.3992897368199036,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,2,0.0,0.4605708512250568
822866:677649:hits:0.5,2026-08-05,822866,677649,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.626189824219531,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,68,44.0,0.6395487962138232
822866:678545:hits:0.5,2026-08-05,822866,678545,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5519185398982259,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,3,3.0,0.6914280465682334
822866:678760:hits:0.5,2026-08-05,822866,678760,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4280140326174807,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,0,0.0,0.575713564031321
822866:679822:hits:0.5,2026-08-05,822866,679822,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4216739459440334,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,24,13.0,0.5501783910078303
822866:683766:hits:0.5,2026-08-05,822866,683766,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5224744650240674,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,10,6.0,0.5892060284583649
822866:687529:hits:0.5,2026-08-05,822866,687529,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4280140326174807,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,11,3.0,0.4003004480131878
822866:691740:hits:0.5,2026-08-05,822866,691740,2026-08-05T12:33:09.559074+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5519185398982259,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,27,11.0,0.445877386064302
822866:694497:hits:0.5,2026-08-05,822866,694497,2026-08-05T16:32:02.246451+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5089548904827527,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,47,21.0,0.46555833658637397
822866:694671:hits:0.5,2026-08-05,822866,694671,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5409522078292466,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,38,27.0,0.6870806198315341
822866:696030:hits:0.5,2026-08-05,822866,696030,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4775255349759326,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,46,27.0,0.5852908983750106
822866:701852:hits:0.5,2026-08-05,822866,701852,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4590477921707535,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,16,5.0,0.40023785467710704
822866:805811:hits:0.5,2026-08-05,822866,805811,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5519185398982259,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,54,34.0,0.6226727179395253
822866:808982:hits:0.5,2026-08-05,822866,808982,2026-08-05T10:31:16.888672+00:00,2026-08-05T14:35:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6357429322821878,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,40,28.0,0.6792855940052202
823106:595879:hits:0.5,2026-08-05,823106,595879,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6011256743916968,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,5,3.0,0.5850545009423513
823106:621493:hits:0.5,2026-08-05,823106,621493,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5409522078292466,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,60,41.0,0.6706721840036848
823106:647304:hits:0.5,2026-08-05,823106,647304,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6660507649473577,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,57,41.0,0.7016262848038548
823106:650402:hits:0.5,2026-08-05,823106,650402,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5519185398982259,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,19,12.0,0.6150262411944655
823106:656716:hits:0.5,2026-08-05,823106,656716,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5783260540559665,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,57,29.0,0.5170109001884703
823106:663728:hits:0.5,2026-08-05,823106,663728,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5409522078292466,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,43,22.0,0.5216805590637367
823106:668227:hits:0.5,2026-08-05,823106,668227,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.626189824219531,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,56,37.0,0.6500891955039151
823106:677594:hits:0.5,2026-08-05,823106,677594,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.626189824219531,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,30,23.0,0.7264660134802782
823106:679529:hits:0.5,2026-08-05,823106,679529,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6579482898323321,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,61,36.0,0.5884885291630517
823106:680664:hits:0.5,2026-08-05,823106,680664,2026-08-05T23:30:26.143981+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6201952164998107,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,6,4.0,0.614693465160755
823106:680977:hits:0.5,2026-08-05,823106,680977,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6007102631800963,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,6,3.0,0.5432648937321835
823106:682985:hits:0.5,2026-08-05,823106,682985,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4590477921707535,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,59,38.0,0.6359060971977696
823106:686527:hits:0.5,2026-08-05,823106,686527,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6007102631800963,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,52,33.0,0.6267618085375094
823106:690993:hits:0.5,2026-08-05,823106,690993,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6011256743916968,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,45,29.0,0.634069971929256
823106:693307:hits:0.5,2026-08-05,823106,693307,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6201952164998107,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,56,36.0,0.6344641955039151
823106:702284:hits:0.5,2026-08-05,823106,702284,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.708509460347817,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,62,39.0,0.6229386930321509
823106:703601:hits:0.5,2026-08-05,823106,703601,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5519185398982259,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,2,1.0,0.5605708512250568
823106:805808:hits:0.5,2026-08-05,823106,805808,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6579482898323321,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,55,41.0,0.7239001351150883
823106:806068:hits:0.5,2026-08-05,823106,806068,2026-08-05T10:31:16.888672+00:00,2026-08-05T21:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5719859673825193,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,51,24.0,0.48484251715678933
823429:547180:hits:0.5,2026-08-05,823429,547180,2026-08-05T10:31:16.888672+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6479767582325769,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,61,35.0,0.5739957755398633
823429:592663:hits:0.5,2026-08-05,823429,592663,2026-08-05T10:31:16.888672+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5719859673825193,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,51,30.0,0.5865374324110265
823429:656941:hits:0.5,2026-08-05,823429,656941,2026-08-05T10:31:16.888672+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5409522078292466,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,58,36.0,0.6152380077613722
823429:660688:hits:0.5,2026-08-05,823429,660688,2026-08-05T10:31:16.888672+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5224744650240674,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,34,23.0,0.657278774101204
823429:664761:hits:0.5,2026-08-05,823429,664761,2026-08-05T12:33:09.559074+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.626189824219531,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,57,37.0,0.6400878232653933
823429:669016:hits:0.5,2026-08-05,823429,669016,2026-08-05T10:31:16.888672+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5409522078292466,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,59,34.0,0.5762046046604562
823429:677588:hits:0.5,2026-08-05,823429,677588,2026-08-05T10:31:16.888672+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4590477921707535,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,13,5.0,0.4574146910595509
823429:678391:hits:0.5,2026-08-05,823429,678391,2026-08-05T10:31:16.888672+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4590477921707535,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,27,13.0,0.5030202432071591
823429:681082:hits:0.5,2026-08-05,823429,681082,2026-08-05T10:31:16.888672+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5719859673825193,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,63,42.0,0.656418429750008
823429:682928:hits:0.5,2026-08-05,823429,682928,2026-08-05T10:31:16.888672+00:00,2026-08-05T18:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4590477921707535,1.0,3.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,0.575713564031321,54,40.0,0.7194469114879124
